"Ticket";"Open_Date_Time";"Open_Day";"Open_Time";"Type";"Size";"Item";"Price";"Stop_Loss";"Take_Profit";"Close_Date_Time";"Close_Day";"Close_Time";"Price";"Commission";"Taxes";"Swap";"Profit"
20307977;"2022.09.08 16:37:02";08.09.2022;"16:37:02";"sell";0,04;".de40cash";12.686,90;0,00;0,00;"2022.09.08 19:11:20";08.09.2022;"19:11:20";12.732,60;"0.00";"0.00";0,00;-1,83
20308502;"2022.09.08 16:38:56";08.09.2022;"16:38:56";"sell";0,04;".de40cash";12.696,50;0,00;0,00;"2022.09.08 19:11:20";08.09.2022;"19:11:20";12.731,90;"0.00";"0.00";0,00;-1,42
20309402;"2022.09.08 16:41:39";08.09.2022;"16:41:39";"sell";0,04;".de40cash";12.715,00;0,00;0,00;"2022.09.08 19:11:19";08.09.2022;"19:11:19";12.733,10;"0.00";"0.00";0,00;-0,72
20309703;"2022.09.08 16:41:41";08.09.2022;"16:41:41";"sell";0,05;".de40cash";12.727,10;0,00;0,00;"2022.09.08 19:11:21";08.09.2022;"19:11:21";12.733,40;"0.00";"0.00";0,00;-0,32
20310395;"2022.09.08 16:44:49";08.09.2022;"16:44:49";"sell";0,07;".de40cash";12.780,70;0,00;0,00;"2022.09.08 16:55:30";08.09.2022;"16:55:30";12.799,40;"0.00";"0.00";0,00;-1,31
20311183;"2022.09.08 16:49:23";08.09.2022;"16:49:23";"sell";0,05;".de40cash";12.780,90;0,00;0,00;"2022.09.08 16:55:26";08.09.2022;"16:55:26";12.798,90;"0.00";"0.00";0,00;-0,90
20311849;"2022.09.08 16:54:33";08.09.2022;"16:54:33";"sell";0,07;".de40cash";12.776,90;0,00;0,00;"2022.09.08 16:55:26";08.09.2022;"16:55:26";12.798,90;"0.00";"0.00";0,00;-1,54
20313543;"2022.09.08 17:07:37";08.09.2022;"17:07:37";"sell";0,04;".de40cash";12.773,70;0,00;0,00;"2022.09.08 19:07:01";08.09.2022;"19:07:01";12.760,80;"0.00";"0.00";0,00;0,52
20314604;"2022.09.08 17:16:49";08.09.2022;"17:16:49";"sell";0,07;".de40cash";12.779,70;0,00;0,00;"2022.09.08 17:17:11";08.09.2022;"17:17:11";12.791,30;"0.00";"0.00";0,00;-0,81
20315026;"2022.09.08 17:19:11";08.09.2022;"17:19:11";"sell";0,07;".de40cash";12.804,20;0,00;0,00;"2022.09.08 17:20:09";08.09.2022;"17:20:09";12.820,40;"0.00";"0.00";0,00;-1,13
20315852;"2022.09.08 17:28:16";08.09.2022;"17:28:16";"sell";0,07;".de40cash";12.838,60;0,00;0,00;"2022.09.08 19:06:21";08.09.2022;"19:06:21";12.771,30;"0.00";"0.00";0,00;4,71
20318107;"2022.09.08 17:52:50";08.09.2022;"17:52:50";"sell";0,09;".de40cash";12.886,10;0,00;0,00;"2022.09.08 19:06:07";08.09.2022;"19:06:07";12.771,10;"0.00";"0.00";0,00;10,35
20321496;"2022.09.08 18:29:18";08.09.2022;"18:29:18";"sell";0,14;".de40cash";12.894,40;0,00;0,00;"2022.09.08 18:31:04";08.09.2022;"18:31:04";12.887,40;"0.00";"0.00";0,00;0,98
20324994;"2022.09.08 19:27:04";08.09.2022;"19:27:04";"sell";0,05;".de40cash";12.743,20;0,00;0,00;"2022.09.08 19:33:44";08.09.2022;"19:33:44";12.780,20;"0.00";"0.00";0,00;-1,85
20325483;"2022.09.08 19:31:45";08.09.2022;"19:31:45";"sell";0,05;".de40cash";12.765,10;0,00;0,00;"2022.09.08 19:33:44";08.09.2022;"19:33:44";12.780,20;"0.00";"0.00";0,00;-0,76
20325818;"2022.09.08 19:32:39";08.09.2022;"19:32:39";"buy";0,05;".de40cash";12.774,00;0,00;0,00;"2022.09.08 19:38:43";08.09.2022;"19:38:43";12.770,60;"0.00";"0.00";0,00;-0,17
20326161;"2022.09.08 19:34:48";08.09.2022;"19:34:48";"buy";0,05;".de40cash";12.775,60;0,00;0,00;"2022.09.08 19:38:43";08.09.2022;"19:38:43";12.770,60;"0.00";"0.00";0,00;-0,25
20326699;"2022.09.08 19:42:15";08.09.2022;"19:42:15";"sell";0,04;".de40cash";12.782,20;0,00;0,00;"2022.09.08 19:44:00";08.09.2022;"19:44:00";12.792,20;"0.00";"0.00";0,00;-0,40
20327035;"2022.09.08 19:42:49";08.09.2022;"19:42:49";"buy";0,07;".de40cash";12.791,00;0,00;0,00;"2022.09.08 20:20:19";08.09.2022;"20:20:19";12.808,00;"0.00";"0.00";0,00;1,19
20327392;"2022.09.08 19:44:30";08.09.2022;"19:44:30";"buy";0,04;".de40cash";12.797,20;0,00;0,00;"2022.09.08 20:20:21";08.09.2022;"20:20:21";12.807,60;"0.00";"0.00";0,00;0,42
